product_category_path,product_department
Beauty>Skincare>Organic & Natural,BEAUTY
Kids>Girls Footwear>Smart shoes,KIDS
Gifts>Games & Toys>Baby & Toddler Toys,DEC HOME
Kids>Nursery & Prams>Baby Gifts,KIDS
Women>Accessories>Travel bags/Accessories,ACCESSORIES
Gifts>Home & Garden Gifts>Home Gifts,DEC HOME
Men>Shirts>Casual short sleeve shirts,RTW
Beauty>Skincare>Eye cream/Serums/Oils,BEAUTY
Home>Bedroom>Bed linen,BED & BATH
Kids>Girls Footwear>Casual shoes,KIDS
Women>Tops/T-Shirts>Sleeveless,RTW
Lingerie>Swimwear>Bikini tops,LINGERIE
Home>Gifts>Teens selection,DEC HOME
Lingerie>Camisoles/Tops>,LINGERIE
Kids>Games & Toys>Baby & Toddler Toys,DEC HOME
Kids>Nursery & Prams>Sleepsuits,KIDS
Outdoor>Outdoor-Accessories>Outdoor-Cushions,DEC HOME
Kids>Games & Toys>Soft Toys,DEC HOME
Women>Dresses>Maxi dresses,RTW
Beauty>Haircare>Shampoo/Conditioners,BEAUTY
Beauty>Body Care>Mens Bath & Body,BEAUTY
Beauty>Oral Care>Teeth Whitening,BEAUTY
Sports & Leisure>Skiwear>Base Layers,LINGERIE
Women>Accessories>Sunglasses,ACCESSORIES
Women>Knitwear>Cardigans,RTW
Women>Handbags>Weekend,ACCESSORIES
Women>Accessories>Purse,ACCESSORIES
Men>Footwear>Casual shoes,FOOTWEAR
Home>Home Office Furniture>Cabinets & Sideboards,FURNITURE
Home>Dining>Glassware,K&D
Women>Handbags>Shopper,ACCESSORIES
Beauty>Skincare>Moisturises,BEAUTY
Women>Outerwear>Waterproof jackets/Coats,RTW
Men>Outerwear>Padded jackets/Coats,RTW
Men>Tops/T-Shirts>Short sleeve polo shirts,RTW
Women>Footwear>Trainers,FOOTWEAR
Home>Bathroom>Bath linen,BED & BATH
Women>Footwear>Flats,FOOTWEAR
Women>Handbags>Hobo,ACCESSORIES
Home>Bedroom>Duvets/Pillows/Cushions,BED & BATH
Home>Dining>Crockery,K&D
Home>Interior>Cushions/blankets/curtains,DEC HOME
Men>Accessories>Ties,ACCESSORIES
Men>Outerwear>Trenchcoats/Macs,RTW
Home>Garden Accessories>Outdoor Garden Lighting,DEC HOME
Home>Outdoor>Decorative Items,DEC HOME
Sports & Leisure>Womens Clothing>Polo Shirts,LINGERIE
Women>Knitwear>Sleeveless,RTW
Home>Kitchen Furniture>Cabinets & Sideboards,FURNITURE
Women>Footwear>Slippers,FOOTWEAR
Women>Footwear>Long boots,FOOTWEAR
Women>Skirts>Long skirts,RTW
Women>Knitwear>Shrugs,RTW
Women>Shoes>Boots,FOOTWEAR
Women>Knitwear>Dresses,RTW
Home>Interior>Decorative Items,DEC HOME
Men>Tops/T-Shirts>Short sleeves,RTW
